DanhMuc,CauHoi,CauTraLoi
,Mặc trang phục không lịch sự vào trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không lịch sự vào trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không lịch sự vào trường bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không lịch sự bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không lịch sự bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không lịch sự bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng vào trường bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng vào trường bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng vào trường bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không gọn gàng bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý gì,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý gì","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý sao","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý thế nào","Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 2 bị xử lý gì ,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 2 bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 2 bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 5 bị xử lý gì ,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 5 bị xử lý sao,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,Không mặc trang phục truyền thống vào thứ 5 bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Nhắc nhở, lần 2 - Phê bình, lần 3 - Nghiêm khắc phê bình, lần 4 - Khiển trách,  lần 5 - Cảnh cáo, lần 6 - Cảnh cáo lần 2, lần 7 - Đình chỉ học tập có thời hạn, lần 8 - Buộc thôi học"
,"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý thế nào","Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào phòng học bị xử lý gì,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào phòng học bị xử lý sao,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào phòng học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào phòng học bị xử lý gì,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào phòng học bị xử lý sao,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào phòng học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang đồ ăn vào thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,Mang thức uống vào thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Phê bình, lần 2 - Nghiêm khắc phê bình, lần 3 - Khiển trách,  lần 4 - Cảnh cáo, lần 5 - Cảnh cáo lần 2, lần 6 - Đình chỉ học tập có thời hạn, lần 7 - Buộc thôi học"
,"Ăn uống trong phòng học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ăn uống trong phòng học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ăn uống trong phòng học, thư viện bị xử lý thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong phòng học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong phòng học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong phòng học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ăn uống trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ngủ trong giờ học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ngủ trong giờ học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Ngủ trong giờ học, thư viện bị xử lý thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong thư viện bị xử lý sao ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Ngủ trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý gì","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý sao","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý thế nào","Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi game trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Nghe nhạc trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong giờ học bị xử lý sao ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Coi phim trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Xem phim trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc báo trong giờ học bị xử lý gì ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc báo trong giờ học bị xử lý sao ,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc báo trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Đọc truyện trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong giờ học bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong giờ học bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong thư viện bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong thư viện bị xử lý sao,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Chơi trò chơi trong thư viện bị xử lý thế nào,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
,Lướt face trong giờ học bị xử lý gì,"Hình thức xử lý: Lần 1 - Cảnh cáo, lần 2 - Cảnh cáo lần 2, lần 3 - Đình chỉ học tập có thời hạn, lần 4 - Buộc thôi học"
